name,invention,url_name,patent,induction_year,birth_date,death_date
Dennis Gabor,Electron Holography,dennis-gabor,"['2,452,919']",2012,5-Jun-2000,"Feb. 8, 1979"
Ashok Gadgil,Water Disinfecting Device,ashok-gadgil,"['5,780,860']",2014,"Nov. 15, 1950",
Emile Gagnan,Diving Equipment,emile-gagnan,"['2,485,039']",2010,"Nov. 1, 1900","Jan. 1, 1979"
Robert Gallo,HIV Virus Isolation and Diagnosis,robert-gallo,"['4,708,818']",2004,23-Mar-1937,
Haren Gandhi,Automotive Exhaust Catalysts,haren-gandhi,"['5,102,853']",2017,2-May-1941,"Jan. 23, 2010"
Charon Robin Ganellin,Tagamet - Cimetidine,charon-robin-ganellin,"['3,950,333', '4,024,271']",1990,"Jan. 25, 1934",
Edmund Germer,Fluorescent Lamp,edmund-germer,"['2,182,732', '2,202,199']",1996,"Aug. 24, 1901","Aug. 10, 1987"
Ivan Getting,Global Positioning System,ivan-getting,"['2,709,773']",2004,"Jan. 18, 1912","Oct. 11, 2003"
John Gibbon,Heart-Lung Machine,john-gibbon,"['2,702,035']",2004,"Sept. 29, 1903","Feb. 5, 1973"
King Camp Gillette,Safety Razor,king-camp-gillette,"['775,134']",2007,"Jan. 5, 1855",9-Jul-1932
Charles P. Ginsburg,Video Tape Recording,charles-p-ginsburg,"['2,956,114']",1990,27-Jul-2020,9-Apr-1992
Joseph F. Glidden,Barbed Wire,joseph-f-glidden,"['157,124']",2006,"Jan. 18, 1813","Oct. 9, 1906"
Robert Hutchings Goddard,Solid Fuel Rockets,robert-hutchings-goddard,"['2,397,657']",1979,"Oct. 5, 1882","Aug. 10, 1945"
William A. Goddard,Magnetic Disk Drive,william-goddard,"['3,503,060']",2007,10-Jul-2013,"Sept. 29, 1997"
"Leopold Godowsky, Jr.",Kodachrome® Film,leopold-godowsky,"['1,997,493']",2005,27-May-2000,"Feb. 18, 1983"
Peter C. Goldmark,Long-Playing (LP) Record,peter-c-goldmark,"['2,950,116']",2007,"Dec. 2, 1906","Dec. 7, 1977"
Andrea Goldsmith,Adaptive Beamforming for Multi-Antenna Wi-Fi,andrea-goldsmith,"['8,064,835']",2024,4-Jul-1964,
Hannibal Goodwin,Transparent Flexible Nitrocellulose Film,hannibal-goodwin,"['610,861']",2011,"April 21, 1822","Dec. 31, 1900"
Charles Goodyear,Vulcanization of Rubber,charles-goodyear,"['3,633']",1976,"Dec. 29, 1800","July 1, 1860"
Robert W. Gore,"ePTFE, Known by the GORE-TEX® Brand Name",robert-w-gore,"['3,953,566']",2006,15-Apr-1937,"Sept. 17, 2020"
Gordon Gould,Optically Pumped Laser Amplifiers,gordon-gould,"['4,053,845', '4,704,583']",1991,17-Jul-2020,"Sept. 16, 2005"
Zenobe Theophile Gramme,Direct-Current Dynamo,zenobe-theophile-gramme,"['120,057']",2006,"April 4, 1826","Jan. 20, 1901"
Elisha Gray,Telegraphic Instruments,elisha-gray,"['461,470']",2007,"Aug. 2, 1835","Jan. 21, 1901"
Wilson Greatbatch,Implantable Pacemaker,wilson-greatbatch,"['3,057,356']",1986,"Sept. 6, 1919","Sept. 27, 2011"
Leonard Michael Greene,Aircraft Stall Warning Device,leonard-michael-greene,"['2,478,967']",1991,8-Jun-2018,"Nov. 30, 2006"
Leroy Grumman,Retractable Landing Gear; Folding Wing,leroy-grumman,"['1,859,624']",2003,"Jan. 4, 1895","Oct. 4, 1982"
Robert Gundlach,Modern Photocopier,robert-gundlach,"['2,812,709']",2005,"Sept. 7, 1926","Aug. 18, 2010"
Jaap C. Haartsen,Bluetooth® Wireless Technology,jaap-c-haartsen,"['6,590,928']",2015,"Feb. 13, 1963",
Fritz Haber,Production of Ammonia,fritz-haber,"['971,501']",2006,"Dec. 9, 1868","Jan. 29, 1934"
Charles Martin Hall,Manufacture of Aluminum,charles-martin-hall,"['400,665']",1976,"Dec. 6, 1863","Dec. 27, 1914"
H. Tracy Hall,Diamond Synthesis,h-tracy-hall,"['2,947,610']",2010,"Oct. 20, 1919",25-Jul-2008
Lloyd Augustus Hall,Food Preservatives,lloyd-augustus-hall,"['2,107,697']",2004,"June 20, 1894","Jan. 2, 1971"
Robert N. Hall,Semiconductor Laser,robert-n-hall,"['2,994,018']",1994,"Dec. 25, 1919","Nov. 7, 2016"
Thomas Seavey Hall,Improvement in Electrical Signals,thomas-seavey-hall,"['89,308']",2007,"April 1, 1827","Dec. 1, 1880"
Andrew Smith Hallidie,Cable Car,andrew-smith-hallidie,"['100,140']",2006,"March 16, 1836",24-Apr-2000
Francis Hamilton,Automatic Sequence Controlled Calculator (Mark I),francis-hamilton,"['2,616,626']",2014,"May 31, 1898",27-Mar-1972
"John Hays Hammond, Jr.",Radio Control,john-hays-hammond,"['1,295,741']",2011,"April 13, 1888",12-Feb-1965
William Edward Hanford,Polyurethane,william-edward-hanford,"['2,284,896']",1991,"Dec. 9, 1908","Jan. 27, 1996"
Eli Harari,Floating Gate EEPROM,eli-harari,"['4,115,914', '5,297,148']",2017,10-Jun-1945,
W. Lincoln Hawkins,Polymer Cable Sheath,w-lincoln-hawkins,"['2,967,845']",2010,21-Mar-2011,"Aug. 20, 1992"
Elizabeth Lee Hazen,Nystatin (Antifungal / Antibiotic),elizabeth-lee-hazen,"['2,797,183']",1994,"Aug. 24, 1885",24-Jun-1975
Howard Head,Laminate Ski; Oversized Tennis Racket,howard-head,"['2,694,580', '3,999,756']",2017,31-Jul-2014,3-Mar-1991
M. Stephen Heilman,Implantable Heart Defibrillator,m-stephen-heilman,"['4,202,340']",2002,"Dec. 25, 1933",
George Heilmeier,Electro-Optic Liquid Crystal Device,george-heilmeier,"['3,499,112']",2009,22-May-1936,21-Apr-2014
Martin Hellman,Public-Key Cryptography,martin-hellman,"['4,200,770']",2011,"Oct. 2, 1945",
Francois Hennebique,Reinforced-Concrete Construction,francois-hennebique,"['611,907']",2011,"April 26, 1842",7-Mar-2021
Beulah Louise Henry,Various Inventions for Daily Use,beulah-louise-henry,"['1,037,762']",2006,"Sept. 28, 1887","Feb. 1, 1973"
Harald Hess,Photoactivated Localization Microscopy (PALM),harald-hess,"['7,535,012']",2024,"Sept. 12, 1955",
Peter Cooper Hewitt,Mercury-Vapor Lamp,peter-cooper-hewitt,"['1,030,178']",2011,"March 5, 1861","Aug. 25, 1921"
William R. Hewlett,Audio Oscillator,william-r-hewlett,"['2,268,872']",1992,20-May-2013,"Jan. 12, 2001"
Beatrice Hicks,Device for Sensing Gas Density,beatrice-hicks,"['3,046,369']",2017,"Jan. 2, 1919","Oct. 21, 1979"
Andrew Higgins,"LCVP (Landing Craft, Vehicle, Personnel); Higgins Boats",andrew-higgins,"['2,144,111', '2,341,866']",2019,"Aug. 28, 1886","Aug. 1, 1952"
Rene Alphonse Higonnet,Photo Composing Machine,rene-alphonse-higonnet,"['2,790,362']",1985,5-Apr-2002,"Oct. 13, 1983"
Maurice Ralph Hilleman,Vaccines,maurice-ralph-hilleman,"['3,555,149', '4,459,286']",2007,"Aug. 30, 1919",11-Apr-2005
James  Hillier,Electron Microscope Lens Correction Device,james-hillier,"['2,455,676']",1980,"Aug. 22, 1915","Jan. 15, 2007"
Richard Hoe,Double-Cylinder Printing Press,richard-hoe,"['2,629']",2006,"Sept. 12, 1812","June 7, 1886"
Jean A. Hoerni,Method of Manufacturing Semiconductor Devices,jean-hoerni,"['3,025,589']",2009,"Sept. 26, 1924","Jan. 12, 1997"
Marcian E. (Ted) Hoff,Microprocessor,marcian-e-ted-hoff,"['3,821,715']",1996,"Oct. 28, 1937",
Felix Hoffmann,Aspirin,felix-hoffmann,"['644,077']",2002,"Jan. 21, 1868","Feb. 8, 1946"
J. Paul Hogan,High-Density Polyethylene and Polypropylene Plastics,j-paul-hogan,"['2,825,721']",2001,"Aug. 7, 1919","Feb. 19, 2012"
John Phillip Holland,Submarine,john-phillip-holland,"['472,670']",2007,"Feb. 29, 1840","Aug. 12, 1914"
Herman Hollerith,Punch Card Tabulator,herman-hollerith,"['395,781', '395,782', '395,783']",1990,"Feb. 29, 1860","Nov. 17, 1929"
Alexander L. Holley,Steelmaking Process in America,alexander-l-holley,"['86,303']",2006,"July 20, 1832","Jan. 29, 1882"
"Birdsill Holly, Jr.",Modern-Day Fire Hydrant,birdsill-holly,"['94,746']",2006,"Nov. 8, 1820","April 27, 1894"
Donald Fletcher Holmes,Polyurethane,donald-fletcher-holmes,"['2,284,896']",1991,"Sept. 29, 1910","Oct. 13, 1980"
"Nick Holonyak, Jr.",LED,nick-holonyak,"['3,249,473']",2008,"Nov. 3, 1928","Sept. 18, 2022"
Benjamin Holt,Track-Type Tractor,benjamin-holt,"['874,008']",2006,"Jan. 1, 1849","Dec. 5, 1920"
Stan Honey,Sports Broadcast Graphic Enhancements,stan-honey,"['6,141,060']",2018,8-Apr-1955,
Leroy Edward Hood,DNA Sequencer,leroy-edward-hood,"['5,171,534']",2007,"Oct. 10, 1938",
Erna Schneider Hoover,Computerized Telephone Switching,erna-schneider-hoover,"['3,623,007']",2008,19-Jun-2026,
Philippe Horvath,CRISPR-enhanced Food Products,philippe-horvath,"['9,879,269', '9,951,342']",2023,17-Apr-1970,
Larry Hornbeck,Digital Micromirror Device,larry-hornbeck,"['5,061,049']",2009,"Sept. 17, 1943",
Eugene Houdry,Catalytic Cracking,eugene-houdry,"['1,837,963']",1990,"April 18, 1892",18-Jul-1962
Godfrey Newbold Hounsfield,CT Scan,godfrey-newbold-hounsfield,"['3,965,357']",2007,"Aug. 28, 1919","Aug. 12, 2004"
Elias Howe,Sewing Machine,elias-howe,"['4,750']",2004,"July 9, 1819","Oct. 3, 1867"
George Hulett,Loading and Unloading Machine,george-hulett,"['652,313']",2006,"Sept. 26, 1846","Jan. 17, 1923"
Charles Hull,Stereolithography (3-D Printing),charles-hull,"['4,575,330']",2014,12-May-1939,
Walter Hunt,Safety Pin,walter-hunt,"['6,281']",2006,"July 29, 1796","June 8, 1859"
John Wesley Hyatt,Celluloid,john-wesley-hyatt,"['88,633']",2006,"Nov. 28, 1837",10-May-2020
J. Franklin Hyde,Transparent Silica,j-franklin-hyde,"['2,272,342']",2000,11-Mar-2003,"Oct. 11, 1999"
Simon Ingersoll,Steam-Powered Rock Drill,simon-ingersoll,"['112,254']",2006,"March 3, 1818","July 24, 1894"
Frederic Eugene Ives,Color Photography,frederic-eugene-ives,"['1,145,143']",2011,"Feb. 17, 1856",27-May-1937
Irwin Mark Jacobs,CDMA Technology,irwin-mark-jacobs,"['4,901,307']",2013,"Oct. 18, 1933",
Joseph M. Jacobson,Electronic Ink,joseph-m-jacobson,"['6,124,851']",2016,28-Jun-1965,
Ali Javan,Helium-Neon Laser,ali-javan,"['3,149,290']",2006,"Dec. 26, 1926","Sept. 12, 2016"
Allene Jeanes,Dextran Production; Xanthan Gum,allene-jeanes,"['2,587,623', '3,000,790']",2017,19-Jul-2006,"Dec. 11, 1995"
Alec Jeffreys,Genetic Fingerprinting,alec-jeffreys,"['5,413,908']",2005,"Jan. 9, 1950",
Charles Jenkins,Motion Picture Projector,charles-jenkins,"['671,111']",2011,"Aug. 22, 1867",6-Jun-1934
Thomas Jennings,Dry Scouring,thomas-jennings,['3306x'],2015,"Jan. 1, 1791","Feb. 11, 1859"
Steve Jobs,iPod User Interface®,steve-jobs,"['7,166,791']",2012,"Feb. 24, 1955","Oct. 5, 2011"
"Amos Joel, Jr.",Mobile Communication System,amos-joel,"['3,663,762']",2008,12-Mar-2018,"Oct. 25, 2008"
Clarence Johnson,Afterburning Means for Turbo-Jet Engines,clarence-johnson,"['2,771,740']",2008,"Feb. 27, 1910","Dec. 21, 1990"
Kristina M. Johnson,Polarization-Control Technology,kristina-m-johnson,"['5,132,826']",2015,7-May-1957,
Lonnie Johnson,Super Soaker®,lonnie-johnson,"['4,591,071']",2022,"Oct. 6, 1949",
Warren S. Johnson,Temperature Control,warren-s-johnson,"['542,733', '281,884']",2018,"Nov. 6, 1847","Dec. 5, 1911"
Frederick McKinley Jones,Mobile Refrigeration,frederick-mckinley-jones,"['2,303,857']",2007,"May 17, 1893","Feb. 21, 1961"
"Howard S. Jones, Jr.",Conformal Antennas,howard-s-jones,"['4,010,470']",2018,"Aug. 18, 1921","Feb. 26, 2005"
Marshall Jones,Industrial Lasers,marshall-jones,"['4,676,586']",2017,"Aug. 1, 1941",
Kenneth C. Jordan,Radioisotopic Thermoelectric Generator (RTG),kenneth-c-jordan,"['2,913,510']",2013,24-Jul-2021,15-May-2008
Marjorie Stewart Joyner,Permanent Wave Machine,marjorie-stewart-joyner,"['1,693,515']",2023,"Oct. 24, 1896","Dec. 27, 1994"
Percy Lavon Julian,Preparation of Cortisone,percy-lavon-julian,"['2,752,339']",1990,"April 11, 1899",19-Apr-1975
Robert E. Kahn,Transmission Control Protocol / Internet Protocol,robert-e-kahn,"['6,574,628']",2006,"Dec. 23, 1938",
Dawon Kahng,MOSFET,dawon-kahng,"['3,102,230']",2009,4-May-1931,13-May-1992
Charles H. Kaman,Rotor Control Mechanism for Helicopter,charles-h-kaman,"['2,668,595']",2003,15-Jun-2019,"Jan. 31, 2011"
Dean Kamen,AutoSyringe® Ambulatory Infusion Pump,dean-kamen,"['3,858,581']",2005,5-Apr-1951,
Sheldon Kaplan,EpiPen® Auto-Injector,sheldon-kaplan,"['4,031,893']",2016,6-Jun-1939,"Sept. 21, 2009"
Katalin Karikó,Modified mRNA Technology Used in COVID-19 Vaccines,katalin-kariko,"['8,278,036']",2023,"Jan. 17, 1955",
Donald B. Keck,Optical Fiber,donald-b-keck,"['3,659,915', '3,711,262']",1993,"Jan. 2, 1941",
Cyril Keller,Bobcat® Skid-Steer Loader,cyril-keller,"['3,151,503']",2023,8-Apr-2022,"Oct. 28, 2020"
Louis Keller,Bobcat® Skid-Steer Loader,louis-keller,"['3,151,503']",2023,9-May-2023,11-Jul-2010
John H. Kellogg,Breakfast Cereal,john-h-kellogg,"['558,393']",2006,"Feb. 26, 1852","Dec. 14, 1943"
Charles D. Kelman,Cataract Surgery,charles-d-kelman,"['3,589,363']",2004,23-May-1930,1-Jun-2004
Clarence Kemp,Passive Solar Water Heater,clarence-kemp,"['451,384']",2011,,
Charles Franklin Kettering,Electrical Ignition System,charles-franklin-kettering,"['1,150,523', '1,171,055']",1980,"Aug. 29, 1876","Nov. 25, 1958"
Mary Dixon Kies,Process for Weaving Straw with Silk or Thread,mary-dixon-kies,missing,2006,"March 21, 1752","Jan. 1, 1837"
Jack S. Kilby,Integrated Circuit,jack-s-kilby,"['3,138,743']",1982,"Nov. 8, 1923",20-Jun-2005
Albert Kingsbury,Thrust Bearing,albert-kingsbury,"['947,242']",2007,"Dec. 23, 1863",28-Jul-1943
Dale Kleist,Fiberglass,dale-kleist,"['2,121,802']",2006,"Jan. 17, 1909",4-May-1998
David Klenerman,Sequencing-by-Synthesis (SBS),david-klenerman,"['7,297,486']",2024,"Sept. 9, 1959",
Margaret E. Knight,Machine for Making Flat-Bottom Paper Bags,margaret-e-knight,['RE9202'],2006,"Feb. 14, 1838","Oct. 12, 1914"
Jeff Kodosky,Virtual Instrumentation - LabVIEW™,jeff-kodosky,"['4,901,221']",2019,"Nov. 4, 1949",
Willem J. Kolff,Artificial Heart,willem-j-kolff,"['3,641,591']",1985,"Feb. 14, 1911","Feb. 11, 2009"
Paul Kollsman,Altimeter,paul-kollsman,"['2,036,581']",2003,"Feb. 22, 1900","Sept. 26, 1982"
William J. Kroll,Titanium Production,william-j-kroll,"['2,205,854']",2000,"Nov. 24, 1889",30-Mar-1973
Raymond Kurzweil,Optical Character Recognition,raymond-kurzweil,"['6,199,042']",2002,"Feb. 12, 1948",
Stephanie Louise Kwolek,Kevlar® Fiber,stephanie-louise-kwolek,"['3,819,587','RE30352']",1995,31-Jul-2023,18-Jun-2014
Irwin M. Lachman,Ceramic Substrate in Catalytic Converters,irwin-m-lachman,"['3,885,977']",2002,"Aug. 2, 1930",
Clair Lake,Automatic Sequence Controlled Calculator (Mark I),clair-lake,"['2,616,626']",2014,"Jan. 1, 1888","Jan. 1, 1958"
Hedy Lamarr,Frequency Hopping Communication System,hedy-lamarr,"['2,292,387']",2014,"Nov. 9, 1914","Jan. 19, 2000"
Edwin Herbert Land,Instant One-Step Photography,edwin-herbert-land,"['2,543,181']",1977,7-May-2009,1-Mar-1991
Alois A. Langer,Implantable Heart Defibrillator,alois-langer,"['4,202,340']",2002,"Feb. 24, 1945",
"Robert S. Langer, Jr.",Controlled Drug Delivery,robert-s-langer,"['4,391,797', '4,757,128']",2006,"Aug. 29, 1948",
Irving Langmuir,Incandescent Electric Lamp,irving-langmuir,"['1,180,159']",1989,"Jan. 31, 1881","Aug. 16, 1957"
Lorenzo L. Langstroth,Beehive,lorenzo-l-langstroth,"['9,300']",2007,"Dec. 25, 1810","Oct. 6, 1895"
Vincent L. Lanza,Polymer Cable Sheath,vincent-l-lanza,"['2,967,845']",2010,26-Mar-2022,18-Jun-1972
Lewis Latimer,Durable Carbon Filament for Electric Light Bulbs,lewis-latimer,"['252,386']",2006,"Sept. 4, 1848","Dec. 11, 1928"
Paul Christian Lauterbur,Magnetic Resonance Imaging,paul-christian-lauterbur,"['5,081,992']",2007,6-May-2029,27-Mar-2007
Ernest Orlando Lawrence,Cyclotron,ernest-orlando-lawrence,"['1,948,384']",1982,"Aug. 8, 1901","Aug. 27, 1958"
Victor B. Lawrence,Signal Processing in Telecommunications,victor-b-lawrence,"['4,034,197', '4,213,187']",2016,10-May-1945,
William P. Lear,Car Radio,william-p-lear,"['1,944,139']",1993,26-Jun-2002,14-May-1978
Joseph Lechleider,DSL - Digital Subscriber Line,joseph-lechleider,"['5,181,198']",2013,"Feb. 22, 1933",18-Apr-2015
Robert S. Ledley,CT Scan,robert-s-ledley,"['3,922,552']",1990,28-Jun-2026,24-Jul-2012
Joseph Lee,Bread Machines,joseph-lee,"['524,042', '540,553']",2019,11-Jun-2008,
Tom Leighton,Content Delivery Network,tom-leighton,"['6,108,703']",2017,"Oct. 28, 1956",
Henry M. Leland,Interchangeable Parts for Automobiles,henry-m-leland,"['569,789']",2011,"Feb. 16, 1843",26-Mar-1932
Daniel Lewin,Content Delivery Network,daniel-lewin,"['6,108,703']",2017,14-May-1970,"Sept. 11, 2001"
Ronald M. Lewis,Ceramic Substrate in Catalytic Converters,ronald-m-lewis,"['3,885,977']",2002,"Feb. 18, 1936",
Ming-Jun Li,Bend-Insensitive Optical Fiber,ming-jun-li,"['7,450,806', '7,903,917', '8,385,701']",2022,"Oct. 12, 1959",
Frances Ligler,Portable Optical Biosensors,frances-ligler,"['5,077,210']",2017,11-Jun-1951,
Lisa Lindahl,Sports Bra,lisa-lindahl,"['4,174,717']",2022,"Nov. 23, 1948",
Edwin A. Link,Flight Simulator,edwin-link,"['1,825,462']",2003,26-Jul-2004,"Sept. 7, 1981"
Barbara Liskov,Programming Languages and System Design,barbara-liskov,"['6,671,821']",2012,"Nov. 7, 1939",
Oliver Joseph Lodge,Electric Telegraphy,oliver-joseph-lodge,"['609,154']",2007,"June 12, 1851","Aug. 22, 1940"
Alfred L. Loomis,LORAN,alfred-l-loomis,"['2,884,628']",2013,"Nov. 4, 1887","Aug. 1, 1975"
Auguste-Marie Lumiere,Cinematographe,auguste-marie-lumiere,"['591,858']",2007,"Oct. 19, 1862",10-Apr-1954
Louis Lumiere,Cinematographe,louis-lumiere,"['591,858']",2007,"Oct. 5, 1864",6-Jun-1948
John Joseph Lynott,Magnetic Disk Drive,john-joseph-lynott,"['3,503,060']",2007,"Aug. 25, 1921",20-Apr-1994
Paul B. MacCready,Gossamer Condor,paul-b-maccready,"['4,206,892']",2015,"Sept. 29, 1925","Aug. 28, 2007"
John Macdougall,Ion Implantation,john-macdougall,"['3,895,966']",2009,19-Jun-1940,
Stanley Macomber,Open Web Joist,stanley-macomber,"['1,651,032']",2011,"Nov. 26, 1887",15-May-1967
Asad Madni,MEMS Gyroscope for Aerospace and Automotive Safety,asad-madni,"['7,360,422']",2024,"Sept. 8, 1947",
Theodore Harold Maiman,Laser,theodore-harold-maiman,"['3,353,115']",1984,11-Jul-2027,5-May-2007
Ken Manchester,Ion Implantation,ken-manchester,"['3,895,966']",2009,22-Mar-2025,"Nov. 10, 2014"
Leopold Mannes,Kodachrome® Film,leopold-mannes,"['1,997,493']",2005,"Dec. 26, 1899","Aug. 11, 1964"
Peter Mansfield,Magnetic Resonance Imaging,peter-mansfield,"['4,115,730']",2007,"Oct. 9, 1933","Feb. 8, 2017"
Guglielmo Marconi,Radio,guglielmo-marconi,"['586,193']",1975,"April 25, 1874",20-Jul-1937
Warren Marrison,Quartz Clock,warren-marrison,"['1,788,533']",2011,"May 21, 1896",27-Mar-1980
Homer Z. Martin,Fluid Catalytic Cracking,homer-z-martin,"['2,451,804']",1999,"Nov. 20, 1910","Sept. 1, 1993"
John L. Mason,Mason Jar,john-l-mason,"['22,186']",2006,"Jan. 1, 1832","Feb. 26, 1902"
Jan Ernst Matzeliger,Shoe-Lasting Machine,jan-ernst-matzeliger,"['274,207']",2006,"Sept. 15, 1852","Aug. 24, 1889"
John Mauchly,ENIAC,john-mauchly,"['2,577,141']",2002,"Aug. 30, 1907","Jan. 8, 1980"
Robert D. Maurer,Optical Fiber,robert-d-maurer,"['3,659,915', '3,711,262']",1993,20-Jul-2024,
Hiram S. Maxim,Maxim Gun; Smokeless Gunpowder,hiram-s-maxim,"['430,212']",2006,"Feb. 5, 1840","Nov. 24, 1916"
Wilhelm Maybach,Explosion and Combustion Motor,wilhelm-maybach,"['499,302', '668,111']",2007,"Feb. 9, 1846","Dec. 29, 1929"
Stanley Mazor,Microprocessor,stanley-mazor,"['3,821,715']",1996,"Oct. 22, 1941",
Cyrus McCormick,Mechanical Reaper,cyrus-mccormick,missing,1976,"Feb. 15, 1809","May 13, 1884"
Elijah McCoy,Automatic Engine Lubricator,elijah-mccoy,"['129,843']",2001,"May 2, 1844","Oct. 10, 1929"
James McEwen,Automatic Surgical Tourniquet,james-mcewen,"['4,469,099']",2022,10-Jun-1948,
Otis Ray McIntire,STYROFOAM™ Brand Foam,otis-ray-mcintire,"['2,450,436']",2008,"Aug. 24, 1918","Feb. 2, 1996"
Malcom McLean,Containerized Shipping,malcom-mclean,"['2,853,968']",2008,"Nov. 14, 1913",25-May-2001
Harold McMaster,Tempered Glass,harold-mcmaster,"['3,994,711']",2008,20-Jul-2016,"Aug. 25, 2003"
Carver Mead,Very Large-Scale Integration (VLSI),carver-mead,"['3,959,774']",2009,1-May-1934,
Ottmar Mergenthaler,Linotype Composing Machine,ottmar-mergenthaler,"['317,828']",1982,"May 10, 1854","Oct. 28, 1899"
Ralph Merkle,Public-Key Cryptography,ralph-merkle,"['4,200,770']",2011,"Feb. 2, 1952",
Robert M. Metcalfe,Ethernet,robert-m-metcalfe,"['4,063,220']",2007,7-Apr-1946,
Gary K. Michelson,Spinal Surgical Devices,gary-k-michelson,"['6,770,074']",2011,"Jan. 14, 1949",
"Thomas Midgley, Jr.",Ethyl Gasoline,thomas-midgley,"['1,491,998']",2003,"May 18, 1889","Nov. 2, 1944"
Alexander Miles,Improved Method for Opening and Closing Elevators,alexander-miles,"['371,207']",2007,"May 18, 1838",7-May-2018
Hinda Miller,Sports Bra,hinda-miller,"['4,174,717']",2022,18-Apr-1950,
Lewis Miller,Improvement in Mowing Machines,lewis-miller,"['15,160']",2006,"July 24, 1829","Feb. 17, 1899"
Irving Millman,Vaccine for Hepatitis B,irving-millman,"['3,636,191', '3,872,225']",1993,23-May-2023,17-Apr-2012
Michel Mirowski,Implantable Heart Defibrillator,michel-mirowski,"['4,202,340']",2002,"Oct. 14, 1924",26-Mar-1990
Sumita Mitra,Nanocomposite Dental Materials,sumita-mitra,"['6,730,156', '6,572,693', '6,387,981']",2018,"Feb. 27, 1949",
Dennis L. Moeller,Peripherals,dennis-l-moeller,"['4,528,626']",1997,28-Apr-1950,
Bryan B. Molloy,Prozac,bryan-b-molloy,"['4,314,081']",1999,30-Mar-1939,8-May-2004
Luc Montagnier,HIV Virus Isolation and Diagnosis,luc-montagnier,"['4,708,818']",2004,"Aug. 18, 1932","Feb. 8, 2022"
Robert A. Moog,Moog Synthesizer,robert-moog,"['3,475,623']",2013,23-May-1934,"Aug. 21, 2005"
Gordon Moore,Method for Fabricating Transistors,gordon-moore,"['3,108,359']",2009,"Jan. 3, 1929",24-Mar-2023
Garrett Morgan,The Gas Mask; Three-way Traffic Signal,garrett-morgan,"['1,090,936', '1,475,024']",2005,"March 4, 1887","Aug. 27, 1963"
Samuel F. B. Morse,Telegraph,samuel-f-b-morse,"['1,647']",1975,"April 27, 1791","April 2, 1872"
Mick Mountz,Mobile Robotic Material Handling for Order Fulfillment,mick-mountz,"['8,649,899']",2022,5-May-1965,
Morton Mower,Implantable Heart Defibrillator,morton-mower,"['4,202,340']",2002,"Jan. 31, 1933",25-Apr-2022
Andrew J. Moyer,Method for Production of Penicillin,andrew-j-moyer,"['2,442,141', '2,443,989']",1987,"Nov. 30, 1899","Feb. 17, 1959"
Louis Marius Moyroud,Photo Composing Machine,louis-marius-moyroud,"['2,790,362']",1985,"Feb. 16, 1914",28-Jun-2010
Joseph Muhler,Stannous Fluoride Toothpaste,joseph-muhler,"['3,445,567']",2019,"Dec. 22, 1923","Dec. 24, 1996"
Kary B. Mullis,Polymerase Chain Reaction,kary-b-mullis,"['4,683,202']",1998,"Dec. 28, 1944","Aug. 7, 2019"
Eger V. Murphree,Fluid Catalytic Cracking,eger-v-murphree,"['2,451,804']",1999,"Nov. 3, 1898","Oct. 29, 1962"
"William P. Murphy, Jr.",Disposable Medical Trays,william-p-murphy,"['3,013,656']",2008,"Nov. 11, 1923","Nov. 30, 2023"
George Washington Murray,Agricultural Machinery,george-washington-murray,"['517,960']",2024,"Sept. 22, 1853",21-Apr-2026
Thomas E. Murray,Electric Fuse Box,thomas-e-murray,"['913,754']",2011,"Oct. 21, 1860",21-Jul-2029
Eadweard Muybridge,Stop-Action Photography,eadweard-muybridge,"['212,865']",2011,"April 9, 1830",8-May-2004
Shuji Nakamura,Blue LED,shuji-nakamura,"['5,290,393']",2015,22-May-1954,
William Nebergall,Stannous Fluoride Toothpaste,william-nebergall,"['2,876,166']",2019,"Dec. 21, 1914","Sept. 2, 1978"
Walther H. Nernst,Metallic Filament Incandescent Lamp,walther-h-nernst,"['623,811']",2011,"June 25, 1864","Nov. 18, 1941"
John Nicholson,Ibuprofen,john-nicholson,"['3,228,831']",2022,30-May-2025,4-Mar-1983
Rev. Julius Arthur Nieuwland,"C.S.C., Synthetic Rubber",rev-julius-arthur-nieuwland,"['1,811,959']",1996,"Feb. 14, 1878",11-Jun-1936
Alfred Nobel,Dynamite,alfred-nobel,"['78,317']",1998,"Oct. 21, 1833","Dec. 10, 1896"
Arthur Nobile,Prednisone,arthur-nobile,"['3,134,718']",2007,6-May-2020,"Jan. 13, 2004"
John K. Northrop,Flying Wing Plane; All-Metal High-Wing Monocoque Airplane (Vega),john-k-northrop,"['2,406,506']",2003,"Nov. 10, 1895","Feb. 18, 1981"
Frederick Novello,Thiazide Diuretics (Chlorothiazide),frederick-novello,"['2,809,194']",2019,"Dec. 17, 1986",
Robert N. Noyce,Integrated Circuit,robert-n-noyce,"['2,981,877']",1983,"Dec. 12, 1927",3-Jun-1990
Bernard Oliver,Pulse Code Modulation,bernard-oliver,"['2,801,281']",2004,27-May-2016,"Nov. 23, 1995"
Kenneth H. Olsen,Magnetic Core Memory,kenneth-h-olsen,"['3,161,861']",1990,"Feb. 20, 1926","Feb. 6, 2011"
Miguel Angel Ondetti,Captopril,miguel-angel-ondetti,"['4,105,776']",2007,14-May-1930,"Aug. 23, 2004"
