name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
Emmett W. Chappelle,Bioluminescence Techniques,emmett-w-chappelle,"['3,423,290']",2007,"Oct. 24, 1925","Oct. 14, 2019","U.S. Patent No. 3,423,290",Inducted in 2007,"BornOct. 24, 1925 - DiedOct. 14, 2019",Military Service: U.S. Army
John Charnley,Acetabular Sockets,john-charnley,"['3,722,002']",2008,"Aug. 29, 1911","Aug. 12, 1982","U.S. Patent No. 3,722,002",Inducted in 2008,"BornAug. 29, 1911 - DiedAug. 12, 1982",Military Service: Royal Army Medical Corps
Emmanuelle Charpentier,CRISPR-Cas9 Gene Editing,emmanuelle-charpentier,"['10,266,850']",2023,"Dec. 11, 1968",,"U.S. Patent No. 10,266,850",Inducted in 2023,"BornDec. 11, 1968",
Mary-Dell Chilton,Transgenic Plant,mary-dell-chilton,"['6,051,757']",2015,"Feb. 2, 1939",,"U.S. Patent No. 6,051,757",Inducted in 2015,"BornFeb. 2, 1939",
Alfred Y. Cho,Molecular Beam Epitaxy (MBE),alfred-y-cho,"['3,830,654']",2009,"July 10, 1937",,"U.S. Patent No. 3,830,654",Inducted in 2009,"BornJuly 10, 1937",
Edith Clarke,Graphical Calculator,edith-clarke,"['1,552,113']",2015,"Feb. 10, 1883","Oct. 29, 1959","U.S. Patent No. 1,552,113",Inducted in 2015,"BornFeb. 10, 1883 - DiedOct. 29, 1959",
Georges Claude,Neon Tubing,georges-claude,"['1,189,664']",2007,"Sept. 24, 1870","May 23, 1960","U.S. Patent No. 1,189,664",Inducted in 2007,"BornSept. 24, 1870 - DiedMay 23, 1960",
Josephine Garis Cochran,Dishwasher,josephine-garis-cochran,"['355,139']",2006,"March 8, 1839","Aug. 3, 1913","U.S. Patent No. 355,139",Inducted in 2006,"BornMarch 8, 1839 - DiedAug. 3, 1913",
Stanley N. Cohen,Genetic Engineering,stanley-n-cohen,"['4,237,224']",2001,"Feb. 17, 1935",,"U.S. Patent No. 4,237,224",Inducted in 2001,"BornFeb. 17, 1935",
James Collip,"Isolated, Purified Insulin",james-collip,"['1,469,994']",2004,"Nov. 20, 1892","June 19, 1965","U.S. Patent No. 1,469,994",Inducted in 2004,"BornNov. 20, 1892 - DiedJune 19, 1965",
Samuel Colt,Revolver with Interchangeable Parts,samuel-colt,missing,2006,"July 19, 1814","Jan. 10, 1862",Inducted in 2006,"BornJuly 19, 1814 - DiedJan. 10, 1862",,
Frank B. Colton,Oral Contraceptives,frank-b-colton,"['2,691,028', '2,725,389']",1988,"March 3, 1923","Nov. 25, 2003","U.S. Patent Nos. 2,691,028; 2,725,389",Inducted in 1988,"BornMarch 3, 1923 - DiedNov. 25, 2003",
Barrett O. Comiskey,Electronic Ink,barrett-o-comiskey,"['5,961,804']",2016,"Sept. 18, 1975",,"U.S. Patent No. 5,961,804",Inducted in 2016,"BornSept. 18, 1975",
Lloyd H. Conover,Tetracycline,lloyd-h-conover,"['2,699,054']",1992,"June 13, 1923","March 11, 2017","U.S. Patent No. 2,699,054",Inducted in 1992,"BornJune 13, 1923 - DiedMarch 11, 2017",Military Service: U.S. Navy
Lynn Conway,Very Large-Scale Integration (VLSI),lynn-conway,"['5,046,022']",2023,"Jan. 2, 1938",,"U.S. Patent No. 5,046,022",Inducted in 2023,"BornJan. 2, 1938",
William D. Coolidge,X-Ray,william-d-coolidge,"['1,203,495']",1975,"Oct. 23, 1873","Feb. 4, 1975","U.S. Patent No. 1,203,495",Inducted in 1975,"BornOct. 23, 1873 - DiedFeb. 4, 1975",
Peter Cooper,Steam Boiler Fire-Box,peter-cooper,missing,2006,"Feb. 12, 1791","April 4, 1883",Inducted in 2006,"BornFeb. 12, 1791 - DiedApril 4, 1883",,
Rory Cooper,Wheelchair Technology,rory-cooper,"['6,276,705', '8,264,458']",2023,"Nov. 9, 1959",,"U.S. Patent Nos. 6,276,705; 8,264,458",Inducted in 2023,"BornNov. 9, 1959",Military Service: U.S. Army
Harry W. Coover,Superglue,harry-w-coover,"['2,768,109']",2004,"March 6, 1917","March 26, 2011","U.S. Patent No. 2,768,109",Inducted in 2004,"BornMarch 6, 1917 - DiedMarch 26, 2011",
George Henry Corliss,Improvements in the Steam Engine,george-henry-corliss,"['177,377', '177,059']",2006,"June 2, 1817","Feb. 21, 1888","U.S. Patent Nos. 177,377; 177,059",Inducted in 2006,"BornJune 2, 1817 - DiedFeb. 21, 1888",
Martha Coston,Signal Flares used by Ships,martha-coston,"['115,935']",2006,"Dec. 12, 1826","July 9, 1904","U.S. Patent No. 115,935",Inducted in 2006,"BornDec. 12, 1826 - DiedJuly 9, 1904",
Frederick G. Cottrell,Electrostatic Precipitator,frederick-g-cottrell,"['895,729']",1992,"Jan. 10, 1877","Nov. 16, 1948","U.S. Patent No. 895,729",Inducted in 1992,"BornJan. 10, 1877 - DiedNov. 16, 1948",
Wallace Coulter,Coulter Principle,wallace-coulter,"['2,656,508']",2004,"Feb. 17, 1913","Aug. 7, 1998","U.S. Patent No. 2,656,508",Inducted in 2004,"BornFeb. 17, 1913 - DiedAug. 7, 1998",
Jacques-Yves Cousteau,Diving Equipment,jacques-yves-cousteau,"['2,485,039']",2010,"June 11, 1910","June 25, 1997","U.S. Patent No. 2,485,039",Inducted in 2010,"BornJune 11, 1910 - DiedJune 25, 1997",
Joshua Lionel Cowen,Toy Train,joshua-lionel-cowen,"['1,113,312']",2007,"Aug. 25, 1877","Sept. 8, 1965","U.S. Patent No. 1,113,312",Inducted in 2007,"BornAug. 25, 1877 - DiedSept. 8, 1965",
Eckley B. Coxe,Traveling-Grate Furnace,eckley-b-coxe,"['510,565']",2006,"June 4, 1839","May 13, 1895","U.S. Patent No. 510,565",Inducted in 2006,"BornJune 4, 1839 - DiedMay 13, 1895",
Seymour Cray,Supercomputer,seymour-cray,"['4,128,880']",1997,"Sept. 28, 1925","Oct. 5, 1996","U.S. Patent No. 4,128,880",Inducted in 1997,"BornSept. 28, 1925 - DiedOct. 5, 1996",Military Service: U.S. Army
Marian Croak,VoIP (Voice over Internet Protocol) Technology,marian-croak,"['7,599,359']",2022,"May 14, 1955",,"U.S. Patent No. 7,599,359",Inducted in 2022,"BornMay 14, 1955",
George Crompton,Loom,george-crompton,"['11,933']",2007,"March 23, 1829","Dec. 29, 1886","U.S. Patent No. 11,933",Inducted in 2007,"BornMarch 23, 1829 - DiedDec. 29, 1886",
David Crosthwait,Heating and Ventilation System Design,david-crosthwait,"['1,727,965']",2014,"May 27, 1898","Feb. 25, 1976","U.S. Patent No. 1,727,965",Inducted in 2014,"BornMay 27, 1898 - DiedFeb. 25, 1976",
Glenn Hammond Curtiss,Hydroaeroplane,glenn-hammond-curtiss,"['1,170,965']",2003,"May 21, 1878","July 23, 1930","U.S. Patent No. 1,170,965",Inducted in 2003,"BornMay 21, 1878 - DiedJuly 23, 1930",
David Wayne Cushman,Captopril,david-wayne-cushman,"['4,105,776']",2007,"Nov. 15, 1939","Aug. 14, 2000","U.S. Patent No. 4,105,776",Inducted in 2007,"BornNov. 15, 1939 - DiedAug. 14, 2000",
Gottlieb Daimler,Design of Automobile and Motorcycle Engines,gottlieb-daimler,"['153,245']",2006,"March 17, 1834","March 6, 1900","U.S. Patent No. 153,245",Inducted in 2006,"BornMarch 17, 1834 - DiedMarch 6, 1900",
Raymond V. Damadian,Magnetic Resonance Imaging,raymond-v-damadian,"['3,789,832']",1989,"March 16, 1936","Aug. 3, 2022","U.S. Patent No. 3,789,832",Inducted in 1989,"BornMarch 16, 1936 - DiedAug. 3, 2022",Military Service: U.S. Air Force
Raffaello D'Andrea,Mobile Robotic Material Handling for Order Fulfillment,raffaello-dandrea,"['8,649,899']",2022,"Aug. 13, 1967",,"U.S. Patent No. 8,649,899",Inducted in 2022,"BornAug. 13, 1967",
John G. Daugman,Iris Recognition Algorithm,john-g-daugman,"['5,291,560']",2013,"Feb. 17, 1954",,"U.S. Patent No. 5,291,560",Inducted in 2013,"BornFeb. 17, 1954",
Donald Watts Davies,Digital Packet Switching,donald-watts-davies,"['4,799,258']",2007,"June 7, 1924","May 28, 2000","U.S. Patent No. 4,799,258",Inducted in 2007,"BornJune 7, 1924 - DiedMay 28, 2000",
Mark Dean,Peripherals,mark-dean,"['4,528,626']",1997,"March 2, 1957",,"U.S. Patent No. 4,528,626",Inducted in 1997,"BornMarch 2, 1957",
Alonzo G. Decker,Portable Hand-Held Electric Drill,alonzo-decker,"['1,245,860']",2019,"Jan. 16, 1884","March 18, 1956","U.S. Patent No. 1,245,860",Inducted in 2019,"BornJan. 16, 1884 - DiedMarch 18, 1956",
John Deere,Improvement in Plows,john-deere,"['46,454']",1989,"Feb. 7, 1804","May 17, 1886","U.S. Patent No. 46,454",Inducted in 1989,"BornFeb. 7, 1804 - DiedMay 17, 1886",
Lee de Forest,Audion Amplifier,lee-de-forest,"['879,532']",1977,"Aug. 26, 1873","June 30, 1961","U.S. Patent No. 879,532",Inducted in 1977,"BornAug. 26, 1873 - DiedJune 30, 1961",
George de Mestral,VELCRO® Fasteners,george-de-mestral,"['2,717,437']",1999,"June 19, 1907","Feb. 8, 1990","U.S. Patent No. 2,717,437",Inducted in 1999,"BornJune 19, 1907 - DiedFeb. 8, 1990",
Robert H. Dennard,Dynamic Random Access Memory (DRAM),robert-h-dennard,"['3,387,286']",1997,"Sept. 5, 1932",,"U.S. Patent No. 3,387,286",Inducted in 1997,"BornSept. 5, 1932",
George Devol,Industrial Robot,george-devol,"['2,988,237']",2011,"Feb. 20, 1912","Aug. 11, 2011","U.S. Patent No. 2,988,237",Inducted in 2011,"BornFeb. 20, 1912 - DiedAug. 11, 2011",
Albert B. Dick,Duplicating Machine,albert-b-dick,"['538,663']",2011,"April 16, 1856","Aug. 15, 1934","U.S. Patent No. 538,663",Inducted in 2011,"BornApril 16, 1856 - DiedAug. 15, 1934",
Earle Dickson,BAND-AID® Brand Adhesive Bandages,earle-dickson,"['1,612,267']",2017,"Oct. 10, 1892","Sept. 21, 1961","U.S. Patent No. 1,612,267",Inducted in 2017,"BornOct. 10, 1892 - DiedSept. 21, 1961",Military Service: U.S. Army
Rudolf Diesel,Internal-Combustion Engine,rudolf-diesel,"['608,845']",1976,"March 18, 1858","Sept. 29, 1913","U.S. Patent No. 608,845",Inducted in 1976,"BornMarch 18, 1858 - DiedSept. 29, 1913",
Whitfield Diffie,Public-Key Cryptography,whitfield-diffie,"['4,200,770']",2011,"June 5, 1944",,"U.S. Patent No. 4,200,770",Inducted in 2011,"BornJune 5, 1944",
Richard DiMarchi,Insulin LisPro (Humalog®),richard-dimarchi,"['5,514,646']",2014,"Dec. 5, 1952",,"U.S. Patent No. 5,514,646",Inducted in 2014,"BornDec. 5, 1952",
Walt Disney,Multiplane Camera,walt-disney,"['2,201,689']",2000,"Dec. 5, 1901","Dec. 15, 1966","U.S. Patent No. 2,201,689",Inducted in 2000,"BornDec. 5, 1901 - DiedDec. 15, 1966",
Carl Djerassi,Oral Contraceptives,carl-djerassi,"['2,744,122']",1978,"Oct. 29, 1923","Jan. 30, 2015","U.S. Patent No. 2,744,122",Inducted in 1978,"BornOct. 29, 1923 - DiedJan. 30, 2015",
Ray Dolby,Dolby Noise Reduction,ray-dolby,"['3,846,719']",2004,"Jan. 18, 1933","Sept. 12, 2013","U.S. Patent No. 3,846,719",Inducted in 2004,"BornJan. 18, 1933 - DiedSept. 12, 2013",Military Service: U.S. Army
Marion Donovan,Waterproof Diaper Cover,marion-donovan,"['2,556,800']",2015,"Oct. 15, 1917","Nov. 4, 1998","U.S. Patent No. 2,556,800",Inducted in 2015,"BornOct. 15, 1917 - DiedNov. 4, 1998",
Jennifer Doudna,CRISPR-Cas9 Gene Editing,jennifer-doudna,"['10,266,850']",2023,"Feb. 19, 1964",,"U.S. Patent No. 10,266,850",Inducted in 2023,"BornFeb. 19, 1964",
Herbert Henry Dow,Bromine Extraction,herbert-henry-dow,['RE12232'],1983,"Feb. 26, 1866","Oct. 16, 1930",U.S. Patent No. RE11232,Inducted in 1983,"BornFeb. 26, 1866 - DiedOct. 16, 1930",
Charles Stark Draper,Stabilizing Gyroscope,charles-stark-draper,"['2,752,790']",1981,"Oct. 2, 1901","July 25, 1987","U.S. Patent No. 2,752,790",Inducted in 1981,"BornOct. 2, 1901 - DiedJuly 25, 1987",
Mildred Dresselhaus,Superlattice Structures for Thermoelectric Devices,mildred-dresselhaus,"['7,465,871']",2014,"Nov. 11, 1930","Feb. 20, 2017","U.S. Patent No. 7,465,871",Inducted in 2014,"BornNov. 11, 1930 - DiedFeb. 20, 2017",
Charles Richard Drew,Blood Plasma Preservation,charles-richard-drew,"['2,389,355']",2015,"June 3, 1904","April 1, 1950","U.S. Patent No. 2,389,355",Inducted in 2015,"BornJune 3, 1904 - DiedApril 1, 1950",
Richard Gurley Drew,Adhesive Tape,richard-gurley-drew,"['1,760,820']",2007,"June 22, 1899","Dec. 14, 1980","U.S. Patent No. 1,760,820",Inducted in 2007,"BornJune 22, 1899 - DiedDec. 14, 1980",
Philip Drinker,Respiration Apparatus,philip-drinker,"['1,834,580']",2007,"Dec. 12, 1894","Oct. 19, 1972","U.S. Patent No. 1,834,580",Inducted in 2007,"BornDec. 12, 1894 - DiedOct. 19, 1972",
John Boyd Dunlop,Pneumatic Tire for Cycles,john-boyd-dunlop,"['435,995']",2006,"Feb. 5, 1840","Oct. 23, 1921","U.S. Patent No. 435,995",Inducted in 2006,"BornFeb. 5, 1840 - DiedOct. 23, 1921",
Graham J. Durant,Tagamet - Cimetidine,graham-j-durant,"['3,950,333', '4,024,271']",1990,"March 14, 1934","March 11, 2009","U.S. Patent Nos. 3,950,333; 4,024,271",Inducted in 1990,"BornMarch 14, 1934 - DiedMarch 11, 2009",
Benjamin Durfee,Automatic Sequence Controlled Calculator (Mark I),benjamin-durfee,"['2,616,626']",2014,"Sept. 18, 1897","Nov. 20, 1980","U.S. Patent No. 2,616,626",Inducted in 2014,"BornSept. 18, 1897 - DiedNov. 20, 1980",
James Buchanan Eads,American Infrastructure and Defense,james-buchanan-eads,"['83,942', '170,832']",2022,"May 23, 1820","March 8, 1887","U.S. Patent Nos. 83,942; 170,832",Inducted in 2022,"BornMay 23, 1820 - DiedMarch 8, 1887",
George Eastman,Dry Plate Photography System,george-eastman,"['226,503']",1977,"July 12, 1854","March 14, 1932","U.S. Patent No. 226,503",Inducted in 1977,"BornJuly 12, 1854 - DiedMarch 14, 1932",
Roger Easton,TIMATION Satellite Navigation System,roger-easton,"['3,789,409']",2010,"April 30, 1921","May 8, 2014","U.S. Patent No. 3,789,409",Inducted in 2010,"BornApril 30, 1921 - DiedMay 8, 2014",Military Service: U.S. Navy
J. Presper Eckert,ENIAC,j-presper-eckert,"['2,577,141']",2002,"April 19, 1919","June 3, 1995","U.S. Patent No. 2,577,141",Inducted in 2002,"BornApril 19, 1919 - DiedJune 3, 1995",
Harold E. Edgerton,Stroboscope,harold-e-edgerton,"['2,478,903']",1986,"April 6, 1903","Jan. 4, 1990","U.S. Patent No. 2,478,903",Inducted in 1986,"BornApril 6, 1903 - DiedJan. 4, 1990",
Thomas Alva Edison,Electric Lamp,thomas-alva-edison,"['223,898']",1973,"Feb. 11, 1847","Oct. 18, 1931","U.S. Patent No. 223,898",Inducted in 1973,"BornFeb. 11, 1847 - DiedOct. 18, 1931",
Alfred Einhorn,Novocain,alfred-einhorn,"['812,554']",2007,"Feb. 27, 1856","March 21, 1917","U.S. Patent No. 812,554",Inducted in 2007,"BornFeb. 27, 1856 - DiedMarch 21, 1917",
Willem Einthoven,Electrocardiograph,willem-einthoven,"['1,592,628']",2008,"May 21, 1860","Sept. 28, 1927","U.S. Patent No. 1,592,628",Inducted in 2008,"BornMay 21, 1860 - DiedSept. 28, 1927",
Gertrude Belle Elion,Anti-Leukemia Drugs,gertrude-belle-elion,"['2,884,667']",1991,"Jan. 23, 1918","Feb. 21, 1999","U.S. Patent No. 2,884,667",Inducted in 1991,"BornJan. 23, 1918 - DiedFeb. 21, 1999",
Carleton van Staal Ellis,Margarine,carleton-van-staal-ellis,"['1,390,689']",2011,"Sept. 20, 1876","Jan. 13, 1941","U.S. Patent No. 1,390,689",Inducted in 2011,"BornSept. 20, 1876 - DiedJan. 13, 1941",
John Colin Emmett,Tagamet - Cimetidine,john-colin-emmett,"['3,950,333', '4,024,271']",1990,"April 27, 1939",,"U.S. Patent Nos. 3,950,333; 4,024,271",Inducted in 1990,"BornApril 27, 1939",
Akira Endo,Mevastatin,akira-endo,"['3,983,140']",2012,"Nov. 14, 1933",,"U.S. Patent No. 3,983,140",Inducted in 2012,"BornNov. 14, 1933",
Douglas Engelbart,Computer Mouse,douglas-engelbart,"['3,541,541']",1998,"Jan. 30, 1925","July 2, 2013","U.S. Patent No. 3,541,541",Inducted in 1998,"BornJan. 30, 1925 - DiedJuly 2, 2013",Military Service: U.S. Navy
John Ericsson,Screw Propeller,john-ericsson,['588'],1993,"July 31, 1803","March 8, 1889",U.S. Patent No. 588,Inducted in 1993,"BornJuly 31, 1803 - DiedMarch 8, 1889",
Lloyd Espenschied,Coaxial Cable,lloyd-espenschied,"['1,835,031']",2006,"April 27, 1889","June 21, 1986","U.S. Patent No. 1,835,031",Inducted in 2006,"BornApril 27, 1889 - DiedJune 21, 1986",
Oliver Evans,High-Pressure Steam Engine,oliver-evans,missing,2001,"Sept. 13, 1755","April 15, 1819",Inducted in 2001,"BornSept. 13, 1755 - DiedApril 15, 1819",,
Ole Evinrude,Outboard Motor,ole-evinrude,"['1,001,260']",2007,"April 19, 1877","July 12, 1934","U.S. Patent No. 1,001,260",Inducted in 2007,"BornApril 19, 1877 - DiedJuly 12, 1934",
Maxime Faget,Space Capsule Design,maxime-faget,"['3,702,688']",2003,"Aug. 26, 1921","Oct. 9, 2004","U.S. Patent No. 3,702,688",Inducted in 2003,"BornAug. 26, 1921 - DiedOct. 9, 2004",Military Service: U.S. Navy
Federico Faggin,Microprocessor,federico-faggin,"['3,821,715']",1996,"Dec. 1, 1941",,"U.S. Patent No. 3,821,715",Inducted in 1996,"BornDec. 1, 1941",
Moses G. Farmer,Electric Fire Alarm System,moses-g-farmer,"['8,920']",2006,"Feb. 9, 1820","May 25, 1893","U.S. Patent No. 8,920",Inducted in 2006,"BornFeb. 9, 1820 - DiedMay 25, 1893",
Philo Taylor Farnsworth,Television System,philo-taylor-farnsworth,"['1,773,980']",1984,"Aug. 19, 1906","March 11, 1971","U.S. Patent No. 1,773,980",Inducted in 1984,"BornAug. 19, 1906 - DiedMarch 11, 1971",
James L. Fergason,Liquid Crystal Display,james-l-fergason,"['3,731,986']",1998,"Jan. 12, 1934","Dec. 9, 2008","U.S. Patent No. 3,731,986",Inducted in 1998,"BornJan. 12, 1934 - DiedDec. 9, 2008",Military Service: U.S. Army
Enrico Fermi,Nuclear Fission,enrico-fermi,"['2,708,656']",1976,"Sept. 29, 1901","Nov. 28, 1954","U.S. Patent No. 2,708,656",Inducted in 1976,"BornSept. 29, 1901 - DiedNov. 28, 1954",
Reginald A. Fessenden,AM Radio,reginald-fessenden,"['706,747']",2000,"Oct. 6, 1866","July 22, 1932","U.S. Patent No. 706,747",Inducted in 2000,"BornOct. 6, 1866 - DiedJuly 22, 1932",
Harvey Firestone,Pneumatic Rubber Tires,harvey-firestone,"['646,274']",2006,"Dec. 20, 1868","Feb. 7, 1938","U.S. Patent No. 646,274",Inducted in 2006,"BornDec. 20, 1868 - DiedFeb. 7, 1938",
John Fitch,Propelling Boats with Steam,john-fitch,missing,2006,"Jan. 21, 1743","July 2, 1798",Inducted in 2006,"BornJan. 21, 1743 - DiedJuly 2, 1798",,
Edith Flanigen,Molecular Sieves,edith-flanigen,"['4,310,440']",2004,"Jan. 28, 1929",,"U.S. Patent No. 4,310,440",Inducted in 2004,"BornJan. 28, 1929",
Leonard Flom,Iris Recognition System,leonard-flom,"['4,641,349']",2013,"Oct. 2, 1927","March 15, 2022","U.S. Patent No. 4,641,349",Inducted in 2013,"BornOct. 2, 1927 - DiedMarch 15, 2022",Military Service: U.S. Army
Thomas J. Fogarty,Embolectomy Catheter,thomas-j-fogarty,"['3,435,826']",2001,"Feb. 25, 1934",,"U.S. Patent No. 3,435,826",Inducted in 2001,"BornFeb. 25, 1934",
M. Judah Folkman,Angiogenesis Inhibition,m-judah-folkman,"['4,164,560']",2010,"Feb. 24, 1933","Jan. 14, 2008","U.S. Patent No. 4,164,560",Inducted in 2010,"BornFeb. 24, 1933 - DiedJan. 14, 2008",Military Service: U.S. Navy
Henry Ford,Transmission Mechanism,henry-ford,"['1,005,186']",1982,"July 30, 1863","April 7, 1947","U.S. Patent No. 1,005,186",Inducted in 1982,"BornJuly 30, 1863 - DiedApril 7, 1947",
Jay W. Forrester,Random Access Memory,jay-w-forrester,"['2,736,880']",1979,"July 14, 1918","Nov. 16, 2016","U.S. Patent No. 2,736,880",Inducted in 1979,"BornJuly 14, 1918 - DiedNov. 16, 2016",
Eric R. Fossum,CMOS Active Pixel Image Sensor Camera-on-a-Chip,eric-r-fossum,"['5,471,515']",2011,"Oct. 17, 1957",,"U.S. Patent No. 5,471,515",Inducted in 2011,"BornOct. 17, 1957",
John E. Franz,Glyphosate Herbicide,john-e-franz,"['3,799,758']",2007,"Dec. 21, 1929",,"U.S. Patent No. 3,799,758",Inducted in 2007,"BornDec. 21, 1929",
Alfred H. Free,Glucose Detection for Diabetes,alfred-h-free,"['2,848,308']",2000,"April 11, 1913","May 15, 2000","U.S. Patent No. 2,848,308",Inducted in 2000,"BornApril 11, 1913 - DiedMay 15, 2000",
Helen M. Free,Glucose Detection for Diabetes,helen-m-free,"['2,912,309']",2000,"Feb. 20, 1923","May 1, 2021","U.S. Patent No. 2,912,309",Inducted in 2000,"BornFeb. 20, 1923 - DiedMay 1, 2021",
Ross Freeman,Field Programmable Gate Array (FPGA),ross-freeman,"['4,870,302']",2009,"July 26, 1948","Oct. 22, 1989","U.S. Patent No. 4,870,302",Inducted in 2009,"BornJuly 26, 1948 - DiedOct. 22, 1989",
Harold Froehlich,Alvin Deep-Sea Submersible,harold-froehlich,"['3,104,641']",2017,"July 13, 1922","May 19, 2007","U.S. Patent No. 3,104,641",Inducted in 2017,"BornJuly 13, 1922 - DiedMay 19, 2007",Military Service: U.S. Navy
Dov  Frohman-Bentchkowsky,Electrically Programmable Read-Only Memory Array,dov-frohman-bentchkowsky,"['3,744,036']",2009,"March 28, 1939",,"U.S. Patent No. 3,744,036",Inducted in 2009,"BornMarch 28, 1939",
Arthur L. Fry,Post-it® Notes,arthur-l-fry,"['5,194,299']",2010,"Aug. 19, 1931",,"U.S. Patent No. 5,194,299",Inducted in 2010,"BornAug. 19, 1931",
Calvin Fuller,Silicon Solar Cell,calvin-fuller,"['2,780,765']",2008,"May 25, 1902","Oct. 28, 1994","U.S. Patent No. 2,780,765",Inducted in 2008,"BornMay 25, 1902 - DiedOct. 28, 1994",
Robert Fulton,Steamboat,robert-fulton,missing,2006,"Nov. 14, 1765","Feb. 24, 1815",Inducted in 2006,"BornNov. 14, 1765 - DiedFeb. 24, 1815",,
Dennis Gabor,Electron Holography,dennis-gabor,"['2,452,919']",2012,"June 5, 1900","Feb. 8, 1979","U.S. Patent No. 2,452,919",Inducted in 2012,"BornJune 5, 1900 - DiedFeb. 8, 1979",
Ashok Gadgil,Water Disinfecting Device,ashok-gadgil,"['5,780,860']",2014,"Nov. 15, 1950",,"U.S. Patent No. 5,780,860",Inducted in 2014,"BornNov. 15, 1950",
Emile Gagnan,Diving Equipment,emile-gagnan,"['2,485,039']",2010,"Nov. 1, 1900","Jan. 1, 1979","U.S. Patent No. 2,485,039",Inducted in 2010,"BornNov. 1, 1900 - DiedJan. 1, 1979",
Robert Gallo,HIV Virus Isolation and Diagnosis,robert-gallo,"['4,708,818']",2004,"March 23, 1937",,"U.S. Patent No. 4,708,818",Inducted in 2004,"BornMarch 23, 1937",
Haren Gandhi,Automotive Exhaust Catalysts,haren-gandhi,"['5,102,853']",2017,"May 2, 1941","Jan. 23, 2010","U.S. Patent No. 5,102,853",Inducted in 2017,"BornMay 2, 1941 - DiedJan. 23, 2010",
Charon Robin Ganellin,Tagamet - Cimetidine,charon-robin-ganellin,"['3,950,333', '4,024,271']",1990,"Jan. 25, 1934",,"U.S. Patent Nos. 3,950,333; 4,024,271",Inducted in 1990,"BornJan. 25, 1934",
Edmund Germer,Fluorescent Lamp,edmund-germer,"['2,182,732', '2,202,199']",1996,"Aug. 24, 1901","Aug. 10, 1987","U.S. Patent Nos. 2,182,732; 2,202,199",Inducted in 1996,"BornAug. 24, 1901 - DiedAug. 10, 1987",
Ivan Getting,Global Positioning System,ivan-getting,"['2,709,773']",2004,"Jan. 18, 1912","Oct. 11, 2003","U.S. Patent No. 2,709,773",Inducted in 2004,"BornJan. 18, 1912 - DiedOct. 11, 2003",
John Gibbon,Heart-Lung Machine,john-gibbon,"['2,702,035']",2004,"Sept. 29, 1903","Feb. 5, 1973","U.S. Patent No. 2,702,035",Inducted in 2004,"BornSept. 29, 1903 - DiedFeb. 5, 1973",Military Service: U.S. Army
King Camp Gillette,Safety Razor,king-camp-gillette,"['775,134']",2007,"Jan. 5, 1855","July 9, 1932","U.S. Patent No. 775,134",Inducted in 2007,"BornJan. 5, 1855 - DiedJuly 9, 1932",
Charles P. Ginsburg,Video Tape Recording,charles-p-ginsburg,"['2,956,114']",1990,"July 27, 1920","April 9, 1992","U.S. Patent No. 2,956,114",Inducted in 1990,"BornJuly 27, 1920 - DiedApril 9, 1992",
Joseph F. Glidden,Barbed Wire,joseph-f-glidden,"['157,124']",2006,"Jan. 18, 1813","Oct. 9, 1906","U.S. Patent No. 157,124",Inducted in 2006,"BornJan. 18, 1813 - DiedOct. 9, 1906",
Robert Hutchings Goddard,Solid Fuel Rockets,robert-hutchings-goddard,"['2,397,657']",1979,"Oct. 5, 1882","Aug. 10, 1945","U.S. Patent No. 2,397,657",Inducted in 1979,"BornOct. 5, 1882 - DiedAug. 10, 1945",
William A. Goddard,Magnetic Disk Drive,william-goddard,"['3,503,060']",2007,"July 10, 1913","Sept. 29, 1997","U.S. Patent No. 3,503,060",Inducted in 2007,"BornJuly 10, 1913 - DiedSept. 29, 1997",
"Leopold Godowsky, Jr.",Kodachrome® Film,leopold-godowsky,"['1,997,493']",2005,"May 27, 1900","Feb. 18, 1983","U.S. Patent No. 1,997,493",Inducted in 2005,"BornMay 27, 1900 - DiedFeb. 18, 1983",
Peter C. Goldmark,Long-Playing (LP) Record,peter-c-goldmark,"['2,950,116']",2007,"Dec. 2, 1906","Dec. 7, 1977","U.S. Patent No. 2,950,116",Inducted in 2007,"BornDec. 2, 1906 - DiedDec. 7, 1977",
Andrea Goldsmith,Adaptive Beamforming for Multi-Antenna Wi-Fi,andrea-goldsmith,"['8,064,835']",2024,"July 4, 1964",,"U.S. Patent No. 8,064,835",Inducted in 2024,"BornJuly 4, 1964",
Hannibal Goodwin,Transparent Flexible Nitrocellulose Film,hannibal-goodwin,"['610,861']",2011,"April 21, 1822","Dec. 31, 1900","U.S. Patent No. 610,861",Inducted in 2011,"BornApril 21, 1822 - DiedDec. 31, 1900",
Charles Goodyear,Vulcanization of Rubber,charles-goodyear,"['3,633']",1976,"Dec. 29, 1800","July 1, 1860","U.S. Patent No. 3,633",Inducted in 1976,"BornDec. 29, 1800 - DiedJuly 1, 1860",
Robert W. Gore,"ePTFE, Known by the GORE-TEX® Brand Name",robert-w-gore,"['3,953,566']",2006,"April 15, 1937","Sept. 17, 2020","U.S. Patent No. 3,953,566",Inducted in 2006,"BornApril 15, 1937 - DiedSept. 17, 2020",
