Patent,Year,Inventor,Invention,kellyetal,halloffame
4202340,,M. Stephen Heilman,Implantable Heart Defibrillator,0,1
3499112,,George Heilmeier,Electro-Optic Liquid Crystal Device,0,1
611907,,Francois Hennebique,Reinforced-Concrete Construction,0,1
1037762,,Beulah Louise Henry,Various Inventions for Daily Use,0,1
2268872,,William R. Hewlett,Audio Oscillator,0,1
3046369,,Beatrice Hicks,Device for Sensing Gas Density,0,1
2144111,,Andrew Higgins,"LCVP (Landing Craft, Vehicle, Personnel); Higgins Boats",0,1
2341866,,Andrew Higgins,"LCVP (Landing Craft, Vehicle, Personnel); Higgins Boats",0,1
2790362,,Rene Alphonse Higonnet,Photo Composing Machine,0,1
3555149,,Maurice Ralph Hilleman,Vaccines,0,1
4459286,,Maurice Ralph Hilleman,Vaccines,0,1
2455676,,James  Hillier,Electron Microscope Lens Correction Device,0,1
2629,,Richard Hoe,Double-Cylinder Printing Press,0,1
3025589,,Jean A. Hoerni,Method of Manufacturing Semiconductor Devices,0,1
472670,,John Phillip Holland,Submarine,0,1
395781,,Herman Hollerith,Punch Card Tabulator,0,1
395783,,Herman Hollerith,Punch Card Tabulator,0,1
86303,,Alexander L. Holley,Steelmaking Process in America,0,1
94746,,"Birdsill Holly, Jr.",Modern-Day Fire Hydrant,0,1
3249473,,"Nick Holonyak, Jr.",LED,0,1
874008,,Benjamin Holt,Track-Type Tractor,0,1
6141060,,Stan Honey,Sports Broadcast Graphic Enhancements,0,1
5171534,,Leroy Edward Hood,DNA Sequencer,0,1
3623007,,Erna Schneider Hoover,Computerized Telephone Switching,0,1
5061049,,Larry Hornbeck,Digital Micromirror Device,0,1
1837963,,Eugene Houdry,Catalytic Cracking,0,1
3965357,,Godfrey Newbold Hounsfield,CT Scan,0,1
652313,,George Hulett,Loading and Unloading Machine,0,1
4575330,,Charles Hull,Stereolithography (3-D Printing),0,1
88633,,John Wesley Hyatt,Celluloid,0,1
2272342,,J. Franklin Hyde,Transparent Silica,0,1
112254,,Simon Ingersoll,Steam-Powered Rock Drill,0,1
1145143,,Frederic Eugene Ives,Color Photography,0,1
4901307,,Irwin Mark Jacobs,CDMA Technology,0,1
6124851,,Joseph M. Jacobson,Electronic Ink,0,1
3149290,,Ali Javan,Helium-Neon Laser,0,1
2587623,,Allene Jeanes,Dextran Production; Xanthan Gum,0,1
3000790,,Allene Jeanes,Dextran Production; Xanthan Gum,0,1
5413908,,Alec Jeffreys,Genetic Fingerprinting,0,1
671111,,Charles Jenkins,Motion Picture Projector,0,1
3306x,,Thomas Jennings,Dry Scouring,0,1
7166791,,Steve Jobs,iPod User Interface®,0,1
2771740,,Clarence Johnson,Afterburning Means for Turbo-Jet Engines,0,1
5132826,,Kristina M. Johnson,Polarization-Control Technology,0,1
4591071,,Lonnie Johnson,Super Soaker®,0,1
542733,,Warren S. Johnson,Temperature Control,0,1
281884,,Warren S. Johnson,Temperature Control,0,1
2303857,,Frederick McKinley Jones,Mobile Refrigeration,0,1
4010470,,"Howard S. Jones, Jr.",Conformal Antennas,0,1
4676586,,Marshall Jones,Industrial Lasers,0,1
1693515,,Marjorie Stewart Joyner,Permanent Wave Machine,0,1
3102230,,Dawon Kahng,MOSFET,0,1
2668595,,Charles H. Kaman,Rotor Control Mechanism for Helicopter,0,1
3858581,,Dean Kamen,AutoSyringe® Ambulatory Infusion Pump,0,1
4031893,,Sheldon Kaplan,EpiPen® Auto-Injector,0,1
8278036,,Katalin Karikó,Modified mRNA Technology Used in COVID-19 Vaccines,0,1
3659915,,Donald B. Keck,Optical Fiber,0,1
3711262,,Donald B. Keck,Optical Fiber,0,1
3151503,,Cyril Keller,Bobcat® Skid-Steer Loader,0,1
3589363,,Charles D. Kelman,Cataract Surgery,0,1
451384,,Clarence Kemp,Passive Solar Water Heater,0,1
1150523,,Charles Franklin Kettering,Electrical Ignition System,0,1
1171055,,Charles Franklin Kettering,Electrical Ignition System,0,1
3138743,,Jack S. Kilby,Integrated Circuit,0,1
947242,,Albert Kingsbury,Thrust Bearing,0,1
2121802,,Dale Kleist,Fiberglass,0,1
7297486,,David Klenerman,Sequencing-by-Synthesis (SBS),0,1
RE9202,,Margaret E. Knight,Machine for Making Flat-Bottom Paper Bags,0,1
4901221,,Jeff Kodosky,Virtual Instrumentation - LabVIEW™,0,1
3641591,,Willem J. Kolff,Artificial Heart,0,1
2036581,,Paul Kollsman,Altimeter,0,1
2205854,,William J. Kroll,Titanium Production,0,1
6199042,,Raymond Kurzweil,Optical Character Recognition,0,1
3819587,,Stephanie Louise Kwolek,Kevlar® Fiber,0,1
RE30352,,Stephanie Louise Kwolek,Kevlar® Fiber,0,1
3885977,,Irwin M. Lachman,Ceramic Substrate in Catalytic Converters,0,1
4391797,,"Robert S. Langer, Jr.",Controlled Drug Delivery,0,1
4757128,,"Robert S. Langer, Jr.",Controlled Drug Delivery,0,1
252386,,Lewis Latimer,Durable Carbon Filament for Electric Light Bulbs,0,1
5081992,,Paul Christian Lauterbur,Magnetic Resonance Imaging,0,1
4034197,,Victor B. Lawrence,Signal Processing in Telecommunications,0,1
4213187,,Victor B. Lawrence,Signal Processing in Telecommunications,0,1
1944139,,William P. Lear,Car Radio,0,1
5181198,,Joseph Lechleider,DSL - Digital Subscriber Line,0,1
3922552,,Robert S. Ledley,CT Scan,0,1
524042,,Joseph Lee,Bread Machines,0,1
540553,,Joseph Lee,Bread Machines,0,1
6108703,,Tom Leighton,Content Delivery Network,0,1
569789,,Henry M. Leland,Interchangeable Parts for Automobiles,0,1
5077210,,Frances Ligler,Portable Optical Biosensors,0,1
4174717,,Lisa Lindahl,Sports Bra,0,1
1825462,,Edwin A. Link,Flight Simulator,0,1
6671821,,Barbara Liskov,Programming Languages and System Design,0,1
609154,,Oliver Joseph Lodge,Electric Telegraphy,0,1
2884628,,Alfred L. Loomis,LORAN,0,1
591858,,Auguste-Marie Lumiere,Cinematographe,0,1
4206892,,Paul B. MacCready,Gossamer Condor,0,1
3895966,,John Macdougall,Ion Implantation,0,1
1651032,,Stanley Macomber,Open Web Joist,0,1
7360422,,Asad Madni,MEMS Gyroscope for Aerospace and Automotive Safety,0,1
3353115,,Theodore Harold Maiman,Laser,0,1
4115730,,Peter Mansfield,Magnetic Resonance Imaging,0,1
1788533,,Warren Marrison,Quartz Clock,0,1
22186,,John L. Mason,Mason Jar,0,1
274207,,Jan Ernst Matzeliger,Shoe-Lasting Machine,0,1
499302,,Wilhelm Maybach,Explosion and Combustion Motor,0,1
668111,,Wilhelm Maybach,Explosion and Combustion Motor,0,1
4469099,,James McEwen,Automatic Surgical Tourniquet,0,1
2450436,,Otis Ray McIntire,STYROFOAM™ Brand Foam,0,1
2853968,,Malcom McLean,Containerized Shipping,0,1
3994711,,Harold McMaster,Tempered Glass,0,1
3959774,,Carver Mead,Very Large-Scale Integration (VLSI),0,1
317828,,Ottmar Mergenthaler,Linotype Composing Machine,0,1
4063220,,Robert M. Metcalfe,Ethernet,0,1
6770074,,Gary K. Michelson,Spinal Surgical Devices,0,1
1491998,,"Thomas Midgley, Jr.",Ethyl Gasoline,0,1
371207,,Alexander Miles,Improved Method for Opening and Closing Elevators,0,1
15160,,Lewis Miller,Improvement in Mowing Machines,0,1
6730156,,Sumita Mitra,Nanocomposite Dental Materials,0,1
6572693,,Sumita Mitra,Nanocomposite Dental Materials,0,1
6387981,,Sumita Mitra,Nanocomposite Dental Materials,0,1
4314081,,Bryan B. Molloy,Prozac,0,1
3475623,,Robert A. Moog,Moog Synthesizer,0,1
3108359,,Gordon Moore,Method for Fabricating Transistors,0,1
1090936,,Garrett Morgan,The Gas Mask; Three-way Traffic Signal,0,1
1475024,,Garrett Morgan,The Gas Mask; Three-way Traffic Signal,0,1
2442141,,Andrew J. Moyer,Method for Production of Penicillin,0,1
2443989,,Andrew J. Moyer,Method for Production of Penicillin,0,1
3445567,,Joseph Muhler,Stannous Fluoride Toothpaste,0,1
3013656,,"William P. Murphy, Jr.",Disposable Medical Trays,0,1
517960,,George Washington Murray,Agricultural Machinery,0,1
913754,,Thomas E. Murray,Electric Fuse Box,0,1
212865,,Eadweard Muybridge,Stop-Action Photography,0,1
5290393,,Shuji Nakamura,Blue LED,0,1
2876166,,William Nebergall,Stannous Fluoride Toothpaste,0,1
623811,,Walther H. Nernst,Metallic Filament Incandescent Lamp,0,1
1811959,,Rev. Julius Arthur Nieuwland,"C.S.C., Synthetic Rubber",0,1
3134718,,Arthur Nobile,Prednisone,0,1
2406506,,John K. Northrop,Flying Wing Plane; All-Metal High-Wing Monocoque Airplane (Vega),0,1
2809194,,Frederick Novello,Thiazide Diuretics (Chlorothiazide),0,1
2801281,,Bernard Oliver,Pulse Code Modulation,0,1
3161861,,Kenneth H. Olsen,Magnetic Core Memory,0,1
365701,,Nicolaus August Otto,Gas-Motor Engine,0,1
4623597,,Stanford R. Ovshinsky,Nickel-Metal Hydride Battery,0,1
76654,,Charles G. Page,High-Voltage Induction Coil,0,1
4925572,,David Pall,Leukocyte Reduction Filter,0,1
4733665,,Julio C. Palmaz,Intravascular Stent,0,1
2448908,,Louis W. Parker,Television Receiver,0,1
5572218,,Bradford Parkinson,Global Positioning System,0,1
2185987,,James A. Parsons Jr.,Durimet 20 (Alloy 20) Stainless Steel Alloy,0,1
2820187,,John T. Parsons,Numerical Control,0,1
3596202,,C. Kumar N. Patel,Carbon Dioxide Laser,0,1
3018680,,Les Paul,Solid-Body Electric Guitar,0,1
5345599,,Arogyaswami Paulraj,MIMO Wireless Technology,0,1
233692,,Lester A. Pelton,Water Wheel,0,1
1996171,,Mary Engle Pennington,Food Preservation and Storage,0,1
5086428,,Radia Perlman,Robust Network Routing and Bridging,0,1
7339900,,Radia Perlman,Robust Network Routing and Bridging,0,1
2046343,,Henry Phillips,Phillips Screw,0,1
88507,,Thomas R. Pickering,Improved Velocipede,0,1
2719188,,John Pierce,Communications Satellite,0,1
2666015,,Gregory Pincus,Oral Contraceptive,0,1
3140249,,Charles J. Plank,Zeolite Catalyst for Catalytic Cracking,0,1
103501,,Mary Florence Potts,Cold-Handle Sad Iron,0,1
42182,,George M. Pullman,Pullman Car,0,1
761995,,Michael Pupin,Loading Coil for Long Distance Telephony,0,1
6664298,,Jacqueline  Quinn,EZVI (Emulsified Zero-Valent Iron),0,1
2933246,,Jacob Rabinow,Optical Character Reading,0,1
2519603,,Grote Reber,Radio Telescope,0,1
660924,,Louis Renault,Automobiles,0,1
470918,,Jesse Wilford Reno,Escalator,0,1
7365844,,Rebecca Richards-Kortum,Medical Devices for Low-Resource Settings,0,1
4404216,,Ken Richardson,Fluconazole,0,1
4879,,Norbert Rillieux,Automated Sugar Refining,0,1
2528725,,Robert Rines,High-Resolution Radar and Sonar,0,1
2711440,,Robert Rines,High-Resolution Radar and Sonar,0,1
2711534,,Robert Rines,High-Resolution Radar and Sonar,0,1
4135240,,Dennis Ritchie,UNIX Operating System,0,1
221360,,James Ritty,Mechanical Cash Register,0,1
4710,,John Roebling,Suspension Bridge,0,1
837127,,John Raphael Rogers,Matrix for Linotype Machine,0,1
3908194,,Lubomyr Romankiw,Magnetic Thin-Film Storage Head,0,1
3133282,,Harold A. Rosen,Geosynchronous Communications Satellite,0,1
3194237,,Benjamin A. Rubin,Pronged Vaccinating Needle,0,1
1172838,,Wallace Clement Sabine,Architectural Acoustics,0,1
520123,,Augustine Sackett,Drywall,0,1
2462133,,Lewis Hastings Sarett,Synthetic Cortisone,0,1
4131919,,Steven Sasson,Digital Camera,0,1
44460,,Joseph Saxton,Measuring Instruments,0,1
4300182,,Edmund O. Schweitzer III,Digital Protective Relay,0,1
3000695,,Glenn T. Seaborg,Plutonium Isolation,0,1
617778,,Charles D. Seeberger,Escalator,0,1
17641,,William Sellers,Improvement in Boring Mills,0,1
1929453,,Waldo L. Semon,Polyvinyl Chloride (PVC),0,1
5751384,,Gary D. Sharp,Polarization-Control Technology,0,1
3939151,,John C. Sheehan,Synthesis of Penicillin,0,1
3023192,,Joseph C. Shivers Jr.,LYCRA® Fiber (Spandex),0,1
424581,,Frederick Ellsworth Sickels,Valve for Steam Engines,0,1
2318259,,Igor I. Sikorsky,Helicopter,0,1
2318260,,Igor I. Sikorsky,Helicopter,0,1
2876108,,John H. Silliker,Microbiological Food Safety and Testing,0,1
2612994,,Bernard Silver,First Optically Scanned Bar Code,0,1
3691140,,Spencer Silver,Post-it® Notes,0,1
2133236,,Games Slayter,Fiberglass,0,1
1340423,,Floyd Smith,Modern Parachute,0,1
1462456,,Floyd Smith,Modern Parachute,0,1
7273280,,Lanny Smoot,Theatrical Technologies and Special Effects,0,1
889823,,James Murray Spangler,Portable Electric Vacuum Cleaner,0,1
2356128,,William J. Sparks,Butyl Rubber,0,1
2408235,,Percy L. Spencer,High-Efficiency Magnetron,0,1
1242065,,Elmer Ambrose Sperry,Gyroscopic Compass,0,1
321149,,Frank J. Sprague,Electric Street Car,0,1
3097204,,James Sprague,Thiazide Diuretics (Chlorothiazide),0,1
349611,,"William Stanley, Jr.",Induction Coil,0,1
3970359,,Gary K. Starkweather,Laser Printer,0,1
533244,,Charles Proteus Steinmetz,Alternating Current,0,1
3371085,,Leo H. Sternbach,Benzodiazepines,0,1
3134097,,Louis Stevens,Data Storage Machine,0,1
3148531,,Alice Stoll,Fire-Resistant Fibers and Fabrics,0,1
2920971,,S. Donald Stookey,Glass Ceramics,0,1
374378,,Harriet W. R. Strong,Water Storage and Flood Control,0,1
1304622,,Eugene Sullivan,PYREX® Brand Cookware,0,1
1219881,,Gideon Sundback,Modern Zipper,0,1
3639736,,Ivan E. Sutherland,Display Windowing by Clipping,0,1
959179,,Ambrose Swasey,Telescope,0,1
341288,,Charles Sumner Tainter,Sound-Recording Instruments,0,1
730176,,Jokichi Takamine,Adrenaline (Adrenalin®),0,1
5389472,,Esther Sans Takeuchi,Lithium/Silver Vanadium Oxide (Li/SVO) Battery Technology in Implantable Cardioverter Defibrillators (ICDs),0,1
6221534,,Esther Sans Takeuchi,Lithium/Silver Vanadium Oxide (Li/SVO) Battery Technology in Implantable Cardioverter Defibrillators (ICDs),0,1
4356429,,Ching Wan Tang,Organic Light-Emitting Diode (OLED),0,1
4010078,,Welton I. Taylor,Microbiological Food Safety and Testing,0,1
2703296,,Gordon Teal,Silicon Transistor,0,1
2519859,,Ralph Teetor,Cruise Control,0,1
3986969,,Maria Telkes,Solar Thermal Storage Systems,0,1
4599315,,Paul Terasaki,Tissue Typing for Organ Transplants; Terasaki Tray,0,1
381968,,Nikola Tesla,Electro-Magnetic Motor,0,1
4295173,,David A. Thompson,Magnetic Thin-Film Storage Head,0,1
3568156,,Ken Thompson,UNIX Operating System,0,1
258684,,Elihu Thomson,Electric Arc Lamp,0,1
237416,,Louis Comfort Tiffany,"Glass Tile, Mosaic",0,1
606635,,Henry Timken,Tapered Roller Bearings,0,1
606636,,Henry Timken,Tapered Roller Bearings,0,1
2261608,,Max Tishler,Synthesis of Vitamin B2 and Sulfaquinoxaline (Antibiotic),0,1
2404199,,Max Tishler,Synthesis of Vitamin B2 and Sulfaquinoxaline (Antibiotic),0,1
5625048,,Roger Tsien,Green Fluorescent Protein (GFP) Variants,0,1
312041,,William E. Upjohn,Dissolvable Pills,0,1
641563,,Theophilus Van Kannel,Revolving Door,0,1
4539507,,Steven Van Slyke,Organic Light-Emitting Diode (OLED),0,1
5103459,,Andrew J. Viterbi,CDMA Technology,0,1
8555353,,Luis von Ahn,reCAPTCHA,0,1
1962794,,Theodore von Karman,Aerodynamic Structure for Planes and Wings,0,1
2911189,,Hans J.P. von Ohain,Turbojet Engine,0,1
399174,,Carl Auer von Welsbach,Incandescent Device,0,1
2443485,,Selman Waksman,Streptomycin,0,1
6023540,,David Walt,Microwell Arrays,0,1
3356858,,Frank Wanlass,Complementary Metal Oxide Semiconductor (CMOS),0,1
4970663,,William J. Warner,Digital Nonlinear Editing System,0,1
293545,,Lewis Edson Waterman,Fountain Pen,0,1
199007,,Thomas A. Watson,Improvements to the Telephone,0,1
RE5504,,"George Westinghouse, Jr.",Air Brake System,0,1
392287,,Edward Weston,Portable Voltmeter,0,1
2064,,Squire Whipple,Iron Truss Bridge,0,1
3952971,,Richard Whitcomb,Supercritical Wing,0,1
659837,,Rollin Henry White,Steam Generator; Controlled Differential,0,1
1253319,,Rollin Henry White,Steam Generator; Controlled Differential,0,1
3158457,,Willis Whitfield,Clean Room,0,1
3220960,,Otto Wichterle,Soft Contact Lens,0,1
3364434,,Robert Widlar,Linear Integrated Circuits,0,1
2049988,,Robert R. Williams,Vitamin Synthesis,0,1
3357176,,Sam B. Williams,Small Fan-Jet Engine,0,1
582108,,Alexander Winton,"Automobile, Bicycle, and Diesel Applications",0,1
373383,,Granville Woods,Railway Telegraphy,0,1
4827064,,Margaret Wu,Synthetic Lubricants,0,1
4827073,,Margaret Wu,Synthetic Lubricants,0,1
3598122,,Alejandro Zaffaroni,Bandage for Administering Drugs,0,1
7776613,,Xiaowei Zhuang,Stochastic Optical Reconstruction Microscopy (STORM),0,1
2139296,,Vladimir Zworykin,Cathode-Ray Tube,0,1
2604359,,Frank Zybach,Center-Pivot Irrigation,0,1
